index,freq,nrg_bal,siec,unit,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
783826,A,TI_EHG_EB,E7000,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032,2.58,2.064,2.15,0.0,0.0,0.0,0.552,0.219,0.27,0.243,0.309,0.341,0.268,0.318,0.317,0.189,0.737
783867,A,TI_EHG_EB,E7000,TJ,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,108.0,86.4,90.0,0.0,0.0,0.011,23.119,9.151,11.315,10.188,12.956,14.26,11.203,13.298,13.266,7.931,30.87
792437,A,TI_EHG_EDHP,E7000,GWH,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,4.0,3.265,3.337,6.149,18.693,32.228,24.978,35.683,57.293,89.443,98.419,112.426,172.852,194.219,207.736
792478,A,TI_EHG_EDHP,E7000,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.602,0.344,0.344,0.281,0.287,0.529,1.607,2.771,2.148,3.068,4.926,7.691,8.463,9.667,14.863,16.7,17.862
792519,A,TI_EHG_EDHP,E7000,TJ,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,25.2,14.4,14.4,11.755,12.013,22.136,67.296,116.022,89.921,128.459,206.254,321.997,354.309,404.735,622.269,699.187,747.85
801089,A,TI_EHG_EPS,E7000,GWH,FR,6552.633,7221.523,7065.429,6410.296,5567.957,6729.295,7758.156,7546.648,7404.374,8665.581,8818.168,8122.649,9620.406,9526.676,9440.947,8514.963,9445.865,9983.777,8579.901,8909.214,8710.679,7017.166,6764.344,7091.751,7956.527,6876.261,6723.584,7104.324,7401.862,6396.661,6200.96,5915.065,7451.556,5764.483,7702.144
801130,A,TI_EHG_EPS,E7000,KTOE,FR,563.425,620.939,607.518,551.186,478.758,578.615,667.081,648.895,636.662,745.106,758.226,698.422,827.206,819.147,811.775,732.155,812.198,858.45,737.739,766.054,748.984,603.368,581.629,609.781,684.138,591.252,578.124,610.862,636.446,550.014,533.187,508.604,640.718,495.656,662.265
801171,A,TI_EHG_EPS,E7000,TJ,FR,23589.477,25997.483,25435.545,23077.065,20044.644,24225.462,27929.363,27167.933,26655.748,31196.09,31745.405,29241.536,34633.462,34296.032,33987.41,30653.868,34005.116,35941.598,30887.645,32073.169,31358.446,25261.798,24351.638,25530.304,28643.497,24754.54,24204.902,25575.566,26646.703,23027.98,22323.456,21294.234,26825.602,20752.139,27727.718
809788,A,TI_EHG_MAPCHP_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809828,A,TI_EHG_MAPCHP_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
